url;doi;titre;date_publication;matricule_premier_auteur
http://fake.url.com/0000006643.pdf;724210357969;Practical black-box attacks against machine learning;8/11/2011;36
http://fake.url.com/0000009223.pdf;281979197359;Automated multimodal volume registration based on supervised 3d anatomical landmark detection;10/7/2013;47
http://fake.url.com/0000003285.pdf;803309605495;Botulinum toxin potentiates cancer radiotherapy and chemotherapy.;6/1/2015;48
http://fake.url.com/0000009658.pdf;865332550719;Temporal logic can be more expressive;11/2/2015;36
http://fake.url.com/0000005965.pdf;170101206902;PCI and RSI conflict detection in a real LTE network using supervised learning;7/7/2011;1
http://fake.url.com/0000006919.pdf;135631934938;Dynamic population mapping using mobile phone data;2/10/2014;33
http://fake.url.com/0000005312.pdf;886779740262;The multimodal brain tumor image segmentation benchmark (BRATS);20/8/2017;7
http://fake.url.com/0000001958.pdf;692319168710;Plant responses to multiple environmental factors;10/9/2016;53
http://fake.url.com/0000008874.pdf;177455456590;The photosynthesis-nitrogen relationship in wild plants;11/1/2014;52
http://fake.url.com/0000001684.pdf;601179569165;Extending a GRASP technique from printing problems to the cutting stock problem;24/5/2012;32
http://fake.url.com/0000000878.pdf;265459324955;Energy balance closure at FLUXNET sites;25/5/2013;54
http://fake.url.com/0000003383.pdf;920393920432;Improving Robustness of Random Forest Under Label Noise;3/3/2011;3
http://fake.url.com/0000008180.pdf;260647516634;Investigation of a Joint Splitting Criteria for Decision Tree Classifier Use of Information Gain and Gini Index;16/2/2015;2
http://fake.url.com/0000000894.pdf;733658672285;Applications of second-order cone programming;15/6/2013;35
http://fake.url.com/0000005712.pdf;528694843663;Error Estimation for Appearance Model Segmentation of Musculoskeletal Structures Using Multiple, Independent Sub-models;23/10/2016;5
http://fake.url.com/0000007237.pdf;687363235131;Linear least squares with different types of constraints: effectiveness of methods;4/1/2012;28
http://fake.url.com/0000000160.pdf;939345169210;Decision forests: A unified framework for classification, regression, density estimation, manifold learning and semi-supervised learning;17/7/2011;24
http://fake.url.com/0000002283.pdf;943512971373;The return of depression economics;18/6/2013;26
http://fake.url.com/0000009028.pdf;147812909577;Primal-dual subgradient methods for convex problems;3/9/2011;29
http://fake.url.com/0000000376.pdf;417147246819;Black hole explosions?;1/6/2016;45
http://fake.url.com/0000008510.pdf;375528475636;Unique in the Crowd: The privacy bounds of human mobility;1/10/2012;1
http://fake.url.com/0000009369.pdf;380324254726;The velocity of climate change;14/9/2011;40
http://fake.url.com/0000006825.pdf;777453469254;Intensity Standardization of Skeleton in Follow-Up Whole-Body MRI;1/6/2011;6
http://fake.url.com/0000004107.pdf;208215110939;The Global Structure of Spacetime;4/8/2018;43
http://fake.url.com/0000000169.pdf;310300711217;Global Deep Learning Methods for Multimodality Isointense Infant Brain Image Segmentation;17/2/2011;5
http://fake.url.com/0000005921.pdf;263929362323;Expression Robust 3D Facial Landmarking via Progressive Coarse-to-Fine Tuning;25/12/2012;22
http://fake.url.com/0000003094.pdf;240368900854;Distributed optimization and statistical learning via the alternating direction method of multipliers;13/2/2013;29
http://fake.url.com/0000005623.pdf;503681591276;A Comparative Evaluation of Polarimetric Distance Measures within the Random Forest Framework for the Classification of Polsar Images;15/4/2015;1
http://fake.url.com/0000003991.pdf;732395466846;Region filling and object removal by exemplar-based image inpainting;18/8/2011;21
http://fake.url.com/0000005291.pdf;221742551575;On Krause's multi-agent consensus model with state-dependent connectivity;14/12/2015;32
http://fake.url.com/0000009045.pdf;725122330709;Linear matrix inequalities in system and control theory;11/11/2012;36
http://fake.url.com/0000005947.pdf;297447636360;Simultaneous stabilization of linear systems;24/3/2013;31
http://fake.url.com/0000000916.pdf;455495474682;Perthes Disease Classification Using Shape and Appearance Modelling;5/1/2011;5
http://fake.url.com/0000004247.pdf;480394124692;Medical Image De-noising Using Deep Networks;8/7/2011;1
http://fake.url.com/0000009212.pdf;673423477647;First-order methods of smooth convex optimization with inexact oracle;10/9/2017;36
http://fake.url.com/0000007654.pdf;463767659995;Endothelin-1 is a critical mediator of myogenic tone in tumor arterioles: implications for cancer treatment;17/8/2016;46
http://fake.url.com/0000005414.pdf;800724787398;FORECASTING THE VOLATILITY OF FINANCIAL TIME SERIES BY TREE ENSEMBLES;14/3/2012;3
http://fake.url.com/0000005276.pdf;239155855911;NP-hardness of some linear control design problems;26/5/2011;35
http://fake.url.com/0000001919.pdf;621258919703;Scale economies, product differentiation, and the pattern of trade;21/9/2014;36
http://fake.url.com/0000003306.pdf;138204260581;Textonboost: Joint appearance, shape and context modeling for multi-class object recognition and segmentation;24/2/2011;19
http://fake.url.com/0000003875.pdf;743243346697;Efficient and non-convex coordinate descent for symmetric nonnegative matrix factorization;3/6/2012;29
http://fake.url.com/0000005729.pdf;620635690696;SIME: A hybrid approach to fast transient stability assessment and contingency selection;11/10/2012;18
http://fake.url.com/0000009989.pdf;909578629785;Contributions to accelerating atmospheric CO2 growth from economic activity, carbon intensity, and efficiency of natural sinks;17/2/2011;42
http://fake.url.com/0000006893.pdf;517511734156;An automata-theoretic approach to automatic program verification;19/5/2015;35
http://fake.url.com/0000004303.pdf;593449654481;Primary production of the biosphere: integrating terrestrial and oceanic components;5/5/2014;40
http://fake.url.com/0000001672.pdf;746613862345;Evaluation and comparison of anatomical landmark detection methods for cephalometric x-ray images: a grand challenge;7/1/2012;5
http://fake.url.com/0000003551.pdf;489915868159;Optimal Brain Damage;1/7/2011;12
http://fake.url.com/0000007646.pdf;422840264779;An Interior-Point Method for Large-Scale l1-Regularized Least Squares;25/8/2012;35
http://fake.url.com/0000006098.pdf;842516702453;Textonboost for image understanding: Multi-class object recognition and segmentation by jointly modeling texture, layout, and context;25/2/2011;20
http://fake.url.com/0000009108.pdf;948774102425;Fast YOLO: A fast you only look once system for real-time embedded object detection in video;20/10/2011;10
http://fake.url.com/0000008780.pdf;178945883258;Weight normalization: A simple reparameterization to accelerate training of deep neural networks;10/10/2012;10
http://fake.url.com/0000005872.pdf;901346601313;Gradient methods for minimizing composite functions;22/7/2013;36
http://fake.url.com/0000004701.pdf;624910547274;Reasoning about infinite computations;9/11/2018;34
http://fake.url.com/0000000396.pdf;952753134497;Modeling the exchanges of energy, water, and carbon between continents and the atmosphere;24/1/2017;52
http://fake.url.com/0000009816.pdf;267794850751;Backpropagation applied to handwritten zip code recognition;18/8/2013;20
http://fake.url.com/0000008416.pdf;978814455675;Can quantum-mechanical description of physical reality be considered complete?;13/2/2013;44
http://fake.url.com/0000001735.pdf;394499435392;Memory-efficient algorithms for the verification of temporal properties;8/7/2012;24
http://fake.url.com/0000008870.pdf;589359674185;A grasp algorithm to solve the label printing problem;10/7/2012;32
http://fake.url.com/0000005516.pdf;754351893440;Computing the extension complexities of all 4-dimensional 0/1-polytopes;24/5/2012;33
http://fake.url.com/0000004006.pdf;336360204657;Unsupervised gene network inference with decision trees and Random forests;24/2/2011;1
http://fake.url.com/0000009380.pdf;973284225281;Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC;15/11/2014;20
http://fake.url.com/0000004889.pdf;408399991920;A branch and bound algorithm for a lexicographic optimization of a bi-objective permutation flowshop with time lags;1/5/2012;32
http://fake.url.com/0000008851.pdf;136902423921;Gradient-based learning applied to document recognition;26/2/2012;21
http://fake.url.com/0000006111.pdf;155786831810;Acute toxicity of curative radiotherapy for intermediate-and high-risk localised prostate cancer in the EORTC trial 22991;13/3/2015;46
http://fake.url.com/0000004955.pdf;737594332735;Graph implementations for nonsmooth convex programs;9/12/2012;28
http://fake.url.com/0000003271.pdf;285765910617;Using a greedy random adaptative search procedure to solve the cover printing problem;15/1/2012;31
http://fake.url.com/0000000417.pdf;318632715576;EORTC-ROG expert opinion: radiotherapy volume and treatment guidelines for neoadjuvant radiation of adenocarcinomas of the gastroesophageal junction and the stomach;7/7/2016;46
http://fake.url.com/0000009204.pdf;335732763942;Interior-point polynomial algorithms in convex programming;3/6/2012;35
http://fake.url.com/0000004460.pdf;122159427681;Self-scaled barriers and interior-point methods for convex programming;1/11/2012;35
http://fake.url.com/0000005127.pdf;127561449341;Simple on-the-fly automatic verification of linear temporal logic;1/1/2012;50
http://fake.url.com/0000006225.pdf;437556141465;Automatic learning techniques in power systems;14/7/2017;37
http://fake.url.com/0000000063.pdf;559850203139;Iterative water-filling for Gaussian vector multiple-access channels;24/11/2012;29
http://fake.url.com/0000003928.pdf;248262337917;Inferring regulatory networks from expression data using tree-based methods;6/1/2012;36
http://fake.url.com/0000000905.pdf;434117482347;Revisiting the commons: local lessons, global challenges;22/6/2012;54
